degree,section,stream,course_code,course_name
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,-,Core course
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI2004,"Managing Decision Making, Communication and Organisational Practice"
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI3025,UO Digital Business Solutions
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI3026,UO Digital Business Value
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI3013,Strategic Management
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI2014,UO Designing Digital Solutions
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,BUSI2901,WIL / Profession
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Digital Business,Electives,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Core courses,Common core,COREX001,An Ethically Rich Life
Bachelor of Business majoring in Human Resource Management,Core courses,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Business majoring in Human Resource Management,Core courses,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Business majoring in Human Resource Management,Core courses,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Business majoring in Human Resource Management,Core courses,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Business majoring in Human Resource Management,Core courses,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Business majoring in Human Resource Management,Core courses,Program core,ACCT1000,Accounting for Decision Makers
Bachelor of Business majoring in Human Resource Management,Core courses,Program core,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business majoring in Human Resource Management,Core courses,Program core,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business majoring in Human Resource Management,Core courses,Program core,MARK1000,Marketing Principles
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,BUSI1001,Business Law
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,BUSI3013,Strategic Management
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,ECON1000,Principles of Economics
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,MDIA2021,Research Methods in Media and Communication
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,MDIA2022,"Media Law, Policy and Ethics"
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,MDIA2102,Promotional Culture
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,MDIA3017,Strategic Planning for Media and Communication
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,GRAP1004,Digital Design Principles and Methods
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,PROJ1000,Foundations of Project Management
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,PROJ1001,Scheduling and Cost Management
Bachelor of Business majoring in Human Resource Management,Core courses,Program core selectives,PROJ3006,Project Logistics and Supply Chains
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,ACCT1000,Accounting for Decision Makers
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI1001,Business Law
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,ECON1000,Principles of Economics
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,MARK1000,Marketing Principles
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES1000,Foundations of Human Resource Management
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES2004,Training and Development
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES2002,Performance and Compensation Management
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES2001,Employment Law
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES3000,Managing the Employment Relationship
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES3001,Recruitment and Selection
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES3002,Strategic Human Resource Management
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI3013,Strategic Management
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,HRES3003,HR Analytics
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,BUSI2901,WIL / Profession
Bachelor of Business majoring in Human Resource Management,Core courses,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES1000,Foundations of Human Resource Management
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES2001,Employment Law
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES2002,Performance and Compensation Management
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES2004,Training and Development
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES3000,Managing the Employment Relationship
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES3001,Recruitment and Selection
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES3002,Strategic Human Resource Management
Bachelor of Business majoring in Human Resource Management,Major courses,,HRES3003,HR Analytics
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,ACCT1000,Accounting for Decision Makers
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI1001,Business Law
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,ECON1000,Principles of Economics
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,MARK1000,Marketing Principles
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES1000,Foundations of Human Resource Management
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES2004,Training and Development
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES2002,Performance and Compensation Management
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES2001,Employment Law
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES3000,Managing the Employment Relationship
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES3001,Recruitment and Selection
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES3002,Strategic Human Resource Management
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI3013,Strategic Management
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,HRES3003,HR Analytics
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,BUSI2901,WIL / Profession
Bachelor of Business majoring in Human Resource Management,Major courses,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,BUSI1005,eChallenge
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,BUSI2901,WIL / Profession
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,BUSI2007,Business Lifecycles
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,BUSI2390,WIL (Procurement and Supply Chain Management)
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,SPOR2900,Sport Practicum 1
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,SPOR3900,Sport Practicum 2
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,MARK3900,Integrated Marketing
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,MDIA3016,Strategic Communication in Practice
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,PROJ2900,WIL
Bachelor of Business majoring in Human Resource Management,Work integrated learning,,PROJ3000,Project Management Professional Practice
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,ACCT1000,Accounting for Decision Makers
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI1001,Business Law
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,ECON1000,Principles of Economics
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,MARK1000,Marketing Principles
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES1000,Foundations of Human Resource Management
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES2004,Training and Development
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES2002,Performance and Compensation Management
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES2001,Employment Law
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES3000,Managing the Employment Relationship
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES3001,Recruitment and Selection
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES3002,Strategic Human Resource Management
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI3013,Strategic Management
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,HRES3003,HR Analytics
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,BUSI2901,WIL / Profession
Bachelor of Business majoring in Human Resource Management,Work integrated learning,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Electives,Elective - Open,AUXX1011,Elective 1
Bachelor of Business majoring in Human Resource Management,Electives,Elective - Open,AUXX1012,Elective 2
Bachelor of Business majoring in Human Resource Management,Electives,Elective - Open,AUXX1013,Elective 3
Bachelor of Business majoring in Human Resource Management,Electives,Elective - Open,AUXX1014,Elective 4
Bachelor of Business majoring in Human Resource Management,Electives,Program electives - Procurement and Supply Chain Management major,BUSI3009,Negotiated Project in the Bachelor of Business (P and SCM)
Bachelor of Business majoring in Human Resource Management,Electives,Program electives - Procurement and Supply Chain Management major,IBUS2000,International Business Environment
Bachelor of Business majoring in Human Resource Management,Electives,Program electives - Procurement and Supply Chain Management major,IBUS2002,International Human Resource Management
Bachelor of Business majoring in Human Resource Management,Electives,Program electives - Project Management major,PROJ3001,Project Procurement and Resourcing
Bachelor of Business majoring in Human Resource Management,Electives,Program electives - Project Management major,PROJ3004,Leadership in Stakeholder Management
Bachelor of Business majoring in Human Resource Management,Electives,Progam electives -  Marketing and Communication major,MARK3023,Service Design and Marketing
Bachelor of Business majoring in Human Resource Management,Electives,Program electives - Marketing and Design major,MARK3023,Service Design and Marketing
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,ACCT1000,Accounting for Decision Makers
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI1001,Business Law
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,ECON1000,Principles of Economics
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,MARK1000,Marketing Principles
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES1000,Foundations of Human Resource Management
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES2004,Training and Development
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES2002,Performance and Compensation Management
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES2001,Employment Law
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,-,Core course
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES3000,Managing the Employment Relationship
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES3001,Recruitment and Selection
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES3002,Strategic Human Resource Management
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI3013,Strategic Management
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,HRES3003,HR Analytics
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,-,Elective - Open
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,BUSI2901,WIL / Profession
Bachelor of Business majoring in Human Resource Management,Electives,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Common core,COREX001,An Ethically Rich Life
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Common core,COREX002,Fact or Fiction: Data for Everyone
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Common core,COREX003,Igniting Change: Ideas to Action
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Common core,COREX004,"Proppa Ways, Future Practice"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Common core,COREX006,"Ways of Being, Ways of Seeing"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core,ACCT1000,Accounting for Decision Makers
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core,BUSI1002,"Management, Organisations and Leadership"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core,BUSI2001,"Emerging Technologies, Data and Business Analytics"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core,MARK1000,Marketing Principles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,BUSI1001,Business Law
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,BUSI2002,"Negotiation, Conflict Management and Resolution"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,BUSI3013,Strategic Management
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,ECON1000,Principles of Economics
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,MDIA2021,Research Methods in Media and Communication
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,MDIA2022,"Media Law, Policy and Ethics"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,MDIA2102,Promotional Culture
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,MDIA3017,Strategic Planning for Media and Communication
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,GRAP1004,Digital Design Principles and Methods
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,PROJ1000,Foundations of Project Management
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,PROJ1001,Scheduling and Cost Management
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Program core selectives,PROJ3006,Project Logistics and Supply Chains
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,ACCT1000,Accounting for Decision Makers
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI1001,Business Law
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,ECON1000,Principles of Economics
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,MARK1000,Marketing Principles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI1017,Entrepreneurial Concepts and Mindsets
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI1004,Design Thinking: Problems to Practice
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI2007,Business Lifecycles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI2005,Innovation and Creativity
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI2000,Creating New Ventures
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI2006,Enterprise Design and Value Creation
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Majors
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Majors
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI3013,Strategic Management
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Majors
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,BUSI1005,eChallenge
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Core courses,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses,BUSI1004,Design Thinking: Problems to Practice
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses,BUSI1017,Entrepreneurial Concepts and Mindsets
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses,BUSI2000,Creating New Ventures
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses,BUSI2005,Innovation and Creativity
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses,BUSI2006,Enterprise Design and Value Creation
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BAFI1015,Corporate Entrepreneurship
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BUSI2026,Technology Entrepreneurship
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BUSI3000,Sustainability and Social Enterprise
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BUSI3004,Innovation Strategy and Systems
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BUSI3005,AI for Business transformation
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BUSI3021,Family Business Management
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Major courses - selective,BUSI3901,Tech eChallenge
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,ACCT1000,Accounting for Decision Makers
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI1001,Business Law
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,ECON1000,Principles of Economics
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,MARK1000,Marketing Principles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI1017,Entrepreneurial Concepts and Mindsets
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI1004,Design Thinking: Problems to Practice
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI2007,Business Lifecycles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI2005,Innovation and Creativity
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI2000,Creating New Ventures
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI2006,Enterprise Design and Value Creation
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Majors
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Majors
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI3013,Strategic Management
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Majors
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,BUSI1005,eChallenge
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Major courses,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,BUSI1005,eChallenge
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,BUSI2900,WIL/ Profession
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,BUSI2901,WIL / Profession
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,BUSI2007,Business Lifecycles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,BUSI2390,WIL (Procurement and Supply Chain Management)
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,SPOR2900,Sport Practicum 1
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,SPOR3900,Sport Practicum 2
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,MARK3900,Integrated Marketing
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,MDIA3016,Strategic Communication in Practice
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,PROJ2900,WIL
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,,PROJ3000,Project Management Professional Practice
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,ACCT1000,Accounting for Decision Makers
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI1001,Business Law
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI1002,"Management, Organisations and Leadership"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,ECON1000,Principles of Economics
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,MARK1000,Marketing Principles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI1017,Entrepreneurial Concepts and Mindsets
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,-,Elective - Open
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,-,Core course
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI2001,"Emerging Technologies, Data and Business Analytics"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI2002,"Negotiation, Conflict Management and Resolution"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI1004,Design Thinking: Problems to Practice
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI2007,Business Lifecycles
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Work integrated learning,Standard study plans,BUSI2005,Innovation and Creativity
